Team Blue,Team Red,FinalScoreBlue,FInalScoreRed,BP1,BP2,BP3,BP4,BP5,RP1,RP2,RP3,RP4,RP5,BP1_HI,BP2_HI,BP3_HI,BP4_HI,BP5_HI,RP1_HI,RP2_HI,RP3_HI,RP4_HI,RP5_HI,BP1_BI1,BP1_BI2,BP1_BI3,BP2_BI1,BP2_BI2,BP2_BI3,BP3_BI1,BP3_BI2,BP3_BI3,BP4_BI1,BP4_BI2,BP4_BI3,BP5_BI1,BP5_BI2,BP5_BI3,RP1_BI1,RP1_BI2,RP1_BI3,RP2_BI1,RP2_BI2,RP2_BI3,RP3_BI1,RP3_BI2,RP3_BI3,RP4_BI1,RP4_BI2,RP4_BI3,RP5_BI1,RP5_BI2,RP5_BI3,DRED1,DRED2,DRED3,ROTOM1,ROTOM2,ROTOM3,ZAPDOS
Eternity,D1,453,403,Lucario,Blastoise,Zeraora,Greedent,Wigglytuff,Aegislash,Cramorant,Greninja,Blastoise,Hoopa,Fluffy Tail,Fluffy Tail,Fluffy Tail,Fluffy Tail,Eject Button,Potion,Eject Button,X Attack,Eject Button,X Attack,Buddy Barrier,Focus Band,Weakness Policy,Buddy Barrier,Aeos Cookie,Energy Amplifier,Muscle Band,Weakness Policy,Buddy Barrier,Focus Band,Buddy Barrier,Attack Weight,Buddy Barrier,Score Shield,Focus Band,Focus Band,Aeos Cookie,Attack Weight,Buddy Barrier,Focus Band,Choice Specs,Muscle Band,Attack Weight,Scope Lens,Focus Band,Buddy Barrier,Sp. Atk Specs,Focus Band,Buddy Barrier,Muscle Band,Blue,Blue,Red,Blue,Blue,None,Blue
D1,Eternity,277,535,Greninja,Alolan_Ninetales,Blastoise,Aegislash,Hoopa,Blastoise,Wigglytuff,Lucario,Greedent,Zeraora,X Attack,X Attack,Eject Button,Potion,X Attack,Fluffy Tail,Eject Button,Fluffy Tail,Fluffy Tail,Fluffy Tail,Muscle Band,Attack Weight,Scope Lens,Muscle Band,Focus Band,Buddy Barrier,Focus Band,Buddy Barrier,Sp. Atk Specs,Focus Band,Buddy Barrier,Razor Claw,Focus Band,Buddy Barrier,Muscle Band,Buddy Barrier,Aeos Cookie,Energy Amplifier,Buddy Barrier,Score Shield,Focus Band,Buddy Barrier,Focus Band,Weakness Policy,Focus Band,Buddy Barrier,Attack Weight,Muscle Band,Weakness Policy,Buddy Barrier,Blue,Red,Blue,Red,Blue,None,Red
GOTCHA,No Show,176,592,Greninja,Blastoise,Tsareena,Blissey,Hoopa,Greninja,Aegislash,Blastoise,Trevenant,Hoopa,X Attack,Eject Button,X Attack,X Speed,X Attack,X Attack,Potion,Eject Button,Potion,X Attack,Muscle Band,Attack Weight,Scope Lens,Sp. Atk Specs,Buddy Barrier,Focus Band,Attack Weight,Focus Band,Aeos Cookie,Focus Band,Exp. Share,Buddy Barrier,Muscle Band,Focus Band,Buddy Barrier,Muscle Band,Attack Weight,Scope Lens,Focus Band,Weakness Policy,Muscle Band,Sp. Atk Specs,Buddy Barrier,Focus Band,Focus Band,Weakness Policy,Muscle Band,Muscle Band,Buddy Barrier,Focus Band,Red,Red,None,Red,Red,None,Red
No Show,GOTCHA,553,392,Greninja,Aegislash,Blastoise,Trevenant,Hoopa,Greedent,Hoopa,Blastoise,Blissey,Tsareena,X Attack,Potion,Eject Button,Potion,X Attack,X Attack,X Attack,Eject Button,X Speed,Potion,Muscle Band,Attack Weight,Scope Lens,Focus Band,Weakness Policy,Muscle Band,Sp. Atk Specs,Buddy Barrier,Focus Band,Focus Band,Weakness Policy,Muscle Band,Muscle Band,Buddy Barrier,Focus Band,Muscle Band,Attack Weight,Scope Lens,Muscle Band,Focus Band,Buddy Barrier,Sp. Atk Specs,Buddy Barrier,Focus Band,Focus Band,Exp. Share,Buddy Barrier,Attack Weight,Focus Band,Aeos Cookie,Blue,Blue,None,Blue,Blue,None,Blue
D1,Z Crystal,647,239,Greninja,Hoopa,Aegislash,Blissey,Blastoise,Greninja,Tsareena,Blastoise,Blissey,Hoopa,X Attack,X Attack,Potion,X Speed,Eject Button,X Attack,Eject Button,Eject Button,X Speed,X Attack,Muscle Band,Attack Weight,Scope Lens,Buddy Barrier,Muscle Band,Focus Band,Focus Band,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Aeos Cookie,Focus Band,Buddy Barrier,Sp. Atk Specs,Muscle Band,Attack Weight,Scope Lens,Focus Band,Weakness Policy,Attack Weight,Buddy Barrier,Focus Band,Choice Specs,Buddy Barrier,Focus Band,Rocky Helmet,Muscle Band,Focus Band,Buddy Barrier,Blue,Red,None,Red,Blue,None,Blue
Z Crystal,D1,204,382,Greninja,Blastoise,Blissey,Hoopa,Tsareena,Greninja,Blastoise,Aegislash,Hoopa,Blissey,X Attack,Eject Button,X Speed,X Attack,Eject Button,X Attack,Eject Button,Potion,X Attack,X Speed,Muscle Band,Attack Weight,Scope Lens,Buddy Barrier,Focus Band,Choice Specs,Buddy Barrier,Focus Band,Rocky Helmet,Leftovers,Muscle Band,Buddy Barrier,Focus Band,Weakness Policy,Attack Weight,Muscle Band,Attack Weight,Scope Lens,Focus Band,Buddy Barrier,Sp. Atk Specs,Focus Band,Muscle Band,Weakness Policy,Buddy Barrier,Muscle Band,Focus Band,Focus Band,Buddy Barrier,Aeos Cookie,Blue,Red,None,Blue,Red,None,Red
meister,GOTCHA,100,522,Cramorant,Blastoise,Hoopa,Lucario,Gengar,Greninja,Blissey,Hoopa,Tsareena,Blastoise,Eject Button,Eject Button,X Attack,Eject Button,Full Heal,X Attack,X Speed,Eject Button,Potion,Eject Button,Choice Specs,Wise Glasses,Buddy Barrier,Focus Band,Sp. Atk Specs,Buddy Barrier,Muscle Band,Buddy Barrier,Exp. Share,Buddy Barrier,Attack Weight,Muscle Band,Choice Specs,Wise Glasses,Energy Amplifier,Muscle Band,Attack Weight,Scope Lens,Focus Band,Exp. Share,Buddy Barrier,Muscle Band,Focus Band,Buddy Barrier,Attack Weight,Focus Band,Aeos Cookie,Sp. Atk Specs,Buddy Barrier,Focus Band,Red,Blue,None,Blue,Blue,None,Red
GOTCHA,meister,306,299,Greninja,Blissey,Tsareena,Blastoise,Hoopa,Cramorant,Lucario,Hoopa,Blastoise,Gengar,X Attack,X Speed,Potion,Eject Button,Eject Button,Eject Button,Eject Button,X Attack,Eject Button,Full Heal,Muscle Band,Attack Weight,Scope Lens,Focus Band,Exp. Share,Buddy Barrier,Attack Weight,Focus Band,Aeos Cookie,Sp. Atk Specs,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Buddy Barrier,Choice Specs,Wise Glasses,Buddy Barrier,Buddy Barrier,Attack Weight,Muscle Band,Muscle Band,Buddy Barrier,Exp. Share,Focus Band,Sp. Atk Specs,Buddy Barrier,Choice Specs,Wise Glasses,Energy Amplifier,Blue,Blue,None,Red,Red,None,Red
No Show,Eternity,837,265,Greninja,Aegislash,Blastoise,Trevenant,Hoopa,Lucario,Greedent,Blastoise,Blissey,Zeraora,X Attack,Full Heal,Eject Button,Potion,X Attack,Fluffy Tail,Fluffy Tail,Fluffy Tail,Eject Button,Fluffy Tail,Muscle Band,Attack Weight,Scope Lens,Focus Band,Weakness Policy,Muscle Band,Sp. Atk Specs,Buddy Barrier,Focus Band,Focus Band,Weakness Policy,Muscle Band,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Focus Band,Weakness Policy,Focus Band,Buddy Barrier,Attack Weight,Buddy Barrier,Aeos Cookie,Energy Amplifier,Buddy Barrier,Scope Lens,Focus Band,Buddy Barrier,Muscle Band,Weakness Policy,Blue,Blue,None,Blue,Blue,None,Red
Eternity,No Show,320,454,Lucario,Greedent,Zeraora,Wigglytuff,Blastoise,Greninja,Aegislash,Blastoise,Trevenant,Hoopa,Fluffy Tail,Fluffy Tail,Fluffy Tail,Eject Button,Fluffy Tail,X Attack,Full Heal,Eject Button,Potion,X Attack,Buddy Barrier,Focus Band,Weakness Policy,Focus Band,Buddy Barrier,Attack Weight,Muscle Band,Weakness Policy,Buddy Barrier,Buddy Barrier,Score Shield,Focus Band,Buddy Barrier,Aeos Cookie,Energy Amplifier,Muscle Band,Attack Weight,Scope Lens,Focus Band,Weakness Policy,Muscle Band,Sp. Atk Specs,Buddy Barrier,Focus Band,Focus Band,Weakness Policy,Muscle Band,Muscle Band,Buddy Barrier,Attack Weight,Red,Blue,Red,Blue,Red,None,Blue
