Team Blue,Team Red,FinalScoreBlue,FInalScoreRed,BP1,BP2,BP3,BP4,BP5,RP1,RP2,RP3,RP4,RP5,BP1_HI,BP2_HI,BP3_HI,BP4_HI,BP5_HI,RP1_HI,RP2_HI,RP3_HI,RP4_HI,RP5_HI,BP1_BI1,BP1_BI2,BP1_BI3,BP2_BI1,BP2_BI2,BP2_BI3,BP3_BI1,BP3_BI2,BP3_BI3,BP4_BI1,BP4_BI2,BP4_BI3,BP5_BI1,BP5_BI2,BP5_BI3,RP1_BI1,RP1_BI2,RP1_BI3,RP2_BI1,RP2_BI2,RP2_BI3,RP3_BI1,RP3_BI2,RP3_BI3,RP4_BI1,RP4_BI2,RP4_BI3,RP5_BI1,RP5_BI2,RP5_BI3,DRED1,DRED2,DRED3,ROTOM1,ROTOM2,ROTOM3,ZAPDOS
Persona,Z Crystlal,405,516,Duraludon,Talonflame,Blissey,Mamoswine,Lucario,Duraludon,Talonflame,Tsareena,Hoopa,Wigglytuff,Full Heal,Eject Button,Slow Smoke,X Speed,Full Heal,Eject Button,X Attack,Eject Button,X Speed,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Attack Weight,Buddy Barrier,Score Shield,Buddy Barrier,Focus Band,Score Shield,Buddy Barrier,Focus Band,Score Shield,Attack Weight,Buddy Barrier,Score Shield,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Attack Weight,Razor Claw,Focus Band,Attack Weight,Muscle Band,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Buddy Barrier,Score Shield,Blue,Red,None,Blue,Blue,None,Red
Persona,Z Crystlal,256,619,Duraludon,Blissey,Talonflame,Lucario,Mamoswine,Duraludon,Talonflame,Hoopa,Wigglytuff,Tsareena,Full Heal,Slow Smoke,Eject Button,Full Heal,X Speed,Eject Button,X Attack,X Speed,Eject Button,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Focus Band,Score Shield,Attack Weight,Razor Claw,Buddy Barrier,Attack Weight,Buddy Barrier,Score Shield,Buddy Barrier,Focus Band,Score Shield,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Attack Weight,Razor Claw,Buddy Barrier,Focus Band,Muscle Band,Focus Band,Buddy Barrier,Score Shield,Focus Band,Attack Weight,Muscle Band,Blue,Red,Red,Red,Red,None,Red
No Show,DYNAJET,198,499,Talonflame,Duraludon,Lucario,Slowbro,Alolan_Ninetales,Lucario,Talonflame,Blissey,Alolan_Ninetales,Duraludon,X Attack,Full Heal,Full Heal,Eject Button,Eject Button,Full Heal,Eject Button,X Speed,Eject Button,Full Heal,Buddy Barrier,Attack Weight,Razor Claw,Muscle Band,Buddy Barrier,Focus Band,Attack Weight,Buddy Barrier,Razor Claw,Buddy Barrier,Focus Band,Choice Specs,Muscle Band,Focus Band,Buddy Barrier,Attack Weight,Muscle Band,Buddy Barrier,Buddy Barrier,Attack Weight,Score Shield,Buddy Barrier,Score Shield,Focus Band,Buddy Barrier,Muscle Band,Focus Band,Buddy Barrier,Muscle Band,Focus Band,Blue,Red,Blue,Red,Blue,None,Red
No Show,DYNAJET,644,420,Talonflame,Lucario,Slowbro,Duraludon,Alolan_Ninetales,Lucario,Talonflame,Wigglytuff,Greedent,Duraludon,X Attack,Full Heal,Eject Button,Full Heal,Eject Button,Full Heal,Goal-Getter,Goal-Getter,Fluffy Tail,Full Heal,Buddy Barrier,Attack Weight,Razor Claw,Attack Weight,Buddy Barrier,Razor Claw,Buddy Barrier,Focus Band,Choice Specs,Muscle Band,Buddy Barrier,Focus Band,Muscle Band,Buddy Barrier,Focus Band,Attack Weight,Muscle Band,Score Shield,Buddy Barrier,Attack Weight,Score Shield,Focus Band,Buddy Barrier,Score Shield,Score Shield,Buddy Barrier,Focus Band,Buddy Barrier,Muscle Band,Focus Band,Blue,Blue,None,Red,Blue,None,Blue
No Show,DYNAJET,492,307,Talonflame,Lucario,Duraludon,Slowbro,Alolan_Ninetales,Lucario,Talonflame,Blissey,Alolan_Ninetales,Duraludon,X Attack,Full Heal,Full Heal,Eject Button,Eject Button,Full Heal,Eject Button,X Speed,Eject Button,Full Heal,Buddy Barrier,Attack Weight,Razor Claw,Attack Weight,Buddy Barrier,Score Shield,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Focus Band,Choice Specs,Muscle Band,Focus Band,Buddy Barrier,Attack Weight,Muscle Band,Buddy Barrier,Buddy Barrier,Attack Weight,Score Shield,Buddy Barrier,Score Shield,Focus Band,Buddy Barrier,Muscle Band,Focus Band,Buddy Barrier,Muscle Band,Focus Band,Blue,Red,Blue,Red,Red,None,Blue
Persona,한탕주의,809,204,Duraludon,Blissey,Slowbro,Lucario,Talonflame,Trevenant,Greninja,Mamoswine,Lucario,Duraludon,X Speed,Eject Button,X Speed,Full Heal,X Attack,X Speed,Full Heal,Potion,Full Heal,Full Heal,Muscle Band,Buddy Barrier,Focus Band,Buddy Barrier,Focus Band,Score Shield,Buddy Barrier,Focus Band,Score Shield,Attack Weight,Buddy Barrier,Muscle Band,Attack Weight,Buddy Barrier,Score Shield,Buddy Barrier,Focus Band,Score Shield,Muscle Band,Buddy Barrier,Scope Lens,Focus Band,Buddy Barrier,Score Shield,Attack Weight,Buddy Barrier,Score Shield,Muscle Band,Focus Band,Buddy Barrier,Blue,Blue,Blue,Blue,Blue,None,Blue
Persona,한탕주의,574,366,Duraludon,Talonflame,Blissey,Lucario,Slowbro,Blissey,Lucario,Duraludon,Mamoswine,Cinderace,X Speed,X Attack,Eject Button,Full Heal,X Speed,Eject Button,Full Heal,Full Heal,Eject Button,Eject Button,Muscle Band,Buddy Barrier,Focus Band,Attack Weight,Buddy Barrier,Score Shield,Buddy Barrier,Focus Band,Score Shield,Attack Weight,Buddy Barrier,Muscle Band,Buddy Barrier,Focus Band,Score Shield,Focus Band,Buddy Barrier,Score Shield,Attack Weight,Buddy Barrier,Score Shield,Muscle Band,Focus Band,Buddy Barrier,Focus Band,Buddy Barrier,Score Shield,Muscle Band,Buddy Barrier,Focus Band,Red,Blue,Blue,Blue,Blue,None,Red
DYNAJET,NewMeta,593,673,Greedent,Lucario,Wigglytuff,Duraludon,Talonflame,Venusaur,Hoopa,Duraludon,Blastoise,Lucario,Fluffy Tail,Full Heal,Goal-Getter,Full Heal,Goal-Getter,Full Heal,Slow Smoke,Full Heal,Eject Button,Full Heal,Score Shield,Buddy Barrier,Focus Band,Attack Weight,Muscle Band,Score Shield,Focus Band,Buddy Barrier,Score Shield,Buddy Barrier,Muscle Band,Focus Band,Buddy Barrier,Attack Weight,Score Shield,Buddy Barrier,Muscle Band,Focus Band,Buddy Barrier,Energy Amplifier,Exp. Share,Muscle Band,Buddy Barrier,Focus Band,Energy Amplifier,Focus Band,Focus Band,Attack Weight,Muscle Band,Buddy Barrier,Red,Blue,Red,Blue,Blue,None,Red
DYNAJET,NewMeta,792,757,Greedent,Lucario,Wigglytuff,Duraludon,Talonflame,Hoopa,Blastoise,Venusaur,Duraludon,Lucario,Fluffy Tail,Full Heal,Goal-Getter,Full Heal,Goal-Getter,Slow Smoke,Eject Button,Full Heal,Full Heal,Full Heal,Score Shield,Buddy Barrier,Focus Band,Attack Weight,Muscle Band,Score Shield,Focus Band,Buddy Barrier,Score Shield,Buddy Barrier,Muscle Band,Focus Band,Buddy Barrier,Attack Weight,Score Shield,Buddy Barrier,Energy Amplifier,Exp. Share,Energy Amplifier,Focus Band,Buddy Barrier,Buddy Barrier,Muscle Band,Focus Band,Muscle Band,Buddy Barrier,Focus Band,Attack Weight,Muscle Band,Buddy Barrier,Red,Red,Red,Red,Red,None,Red
DYNAJET,NewMeta,715,812,Greedent,Lucario,Wigglytuff,Duraludon,Talonflame,Blastoise,Venusaur,Duraludon,Lucario,Hoopa,Fluffy Tail,Full Heal,Goal-Getter,Full Heal,Goal-Getter,Eject Button,Full Heal,Full Heal,Full Heal,Slow Smoke,Score Shield,Buddy Barrier,Focus Band,Attack Weight,Muscle Band,Score Shield,Focus Band,Buddy Barrier,Score Shield,Buddy Barrier,Muscle Band,Focus Band,Buddy Barrier,Attack Weight,Score Shield,Focus Band,Buddy Barrier,Score Shield,Buddy Barrier,Muscle Band,Score Shield,Muscle Band,Buddy Barrier,Focus Band,Attack Weight,Buddy Barrier,Score Shield,Buddy Barrier,Exp. Share,Score Shield,Blue,Red,Red,Blue,Red,None,Red
