,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,so,the,speardanes,in,days,gone,by,,,,,,,,,,,,
1,and,the,kings,who,ruled,them,had,courage,and,greatness,,,,,,,,,
2,we,have,heard,of,those,princes,heroic,campaigns,,,,,,,,,,,
3,there,was,shield,sheafson,scourge,of,many,tribes,,,,,,,,,,,
4,a,wrecker,of,meadbenches,rampaging,among,foes,,,,,,,,,,,,
5,this,terror,of,the,halltroops,had,come,far,,,,,,,,,,,
6,a,foundling,to,start,with,he,would,flourish,later,on,,,,,,,,,
7,as,his,powers,waxed,and,his,worth,was,proved,,,,,,,,,,
8,in,the,end,each,clan,on,the,outlying,coasts,,,,,,,,,,
9,beyond,the,whaleroad,had,to,yield,to,him,10,,,,,,,,,,
10,and,begin,to,pay,tribute,that,was,one,good,king,,,,,,,,,
11,afterwards,a,boychild,was,born,to,shield,,,,,,,,,,,,
12,a,cub,in,the,yard,a,comfort,sent,,,,,,,,,,,
13,by,god,to,that,nation,he,knew,what,they,had,tholed,,,,,,,,
14,the,long,times,and,troubles,theyd,come,through,,,,,,,,,,,
15,without,a,leader,so,the,lord,of,life,,,,,,,,,,,
16,the,glorious,almighty,made,this,man,renowned,,,,,,,,,,,,
17,shield,had,fathered,a,famous,son,,,,,,,,,,,,,
18,beows,name,was,known,through,the,north,,,,,,,,,,,,
19,and,a,young,prince,must,be,prudent,like,that,20,,,,,,,,,
20,giving,freely,while,his,father,lives,,,,,,,,,,,,,
21,so,that,afterwards,in,age,when,fighting,starts,,,,,,,,,,,
22,steadfast,companions,will,stand,beside,him,,,,,,,,,,,,,
23,and,hold,the,line,behavior,thats,admired,,,,,,,,,,,,
24,is,the,path,to,power,among,people,everywhere,,,,,,,,,,,
25,shield,was,still,thriving,when,his,time,came,,,,,,,,,,,
26,and,he,crossed,over,into,the,lords,keeping,,,,,,,,,,,
27,his,warrior,band,did,what,he,bade,them,,,,,,,,,,,
28,when,he,laid,down,the,law,among,the,danes,,,,,,,,,,
29,they,shouldered,him,out,to,the,seas,flood,30,,,,,,,,,,
30,the,chief,they,revered,who,had,long,ruled,them,,,,,,,,,,
31,a,ringwhorled,prow,rode,in,the,harbour,,,,,,,,,,,,
32,iceclad,outbound,a,craft,for,a,prince,,,,,,,,,,,,
33,they,stretched,their,beloved,lord,in,his,boat,,,,,,,,,,,
34,laid,out,by,the,mast,amidships,,,,,,,,,,,,,
35,the,great,ringgiver,farfetched,treasures,,,,,,,,,,,,,,
36,were,piled,upon,him,and,precious,gear,,,,,,,,,,,,
37,i,never,heard,before,of,a,ship,so,well,furbished,,,,,,,,,
38,with,battle,tackle,bladed,weapons,,,,,,,,,,,,,,
39,and,coats,of,mail,the,massed,treasure,40,,,,,,,,,,,
40,was,loaded,on,top,of,him,it,would,travel,far,,,,,,,,,
41,on,out,into,the,oceans,sway,,,,,,,,,,,,,
42,they,decked,his,body,no,less,bountifully,,,,,,,,,,,,
43,with,offerings,than,those,first,ones,did,,,,,,,,,,,,
44,who,cast,him,away,when,he,was,a,child,,,,,,,,,,
45,and,launched,him,alone,out,over,the,waves,,,,,,,,,,,
46,and,they,set,a,gold,standard,up,,,,,,,,,,,,
47,high,above,his,head,and,let,him,drift,,,,,,,,,,,
48,to,wind,and,tide,bewailing,him,,,,,,,,,,,,,
49,and,mourning,their,loss,no,man,can,tell,50,,,,,,,,,,
50,no,wise,man,in,hall,or,weathered,veteran,,,,,,,,,,,
51,knows,for,certain,who,salvaged,that,load,,,,,,,,,,,,
52,then,it,fell,to,beow,to,keep,the,forts,,,,,,,,,,
53,he,was,well,regarded,and,ruled,the,danes,,,,,,,,,,,
54,for,a,long,time,after,his,father,took,leave,,,,,,,,,,
55,of,his,life,on,earth,and,then,his,heir,,,,,,,,,,
56,the,great,halfdane,held,sway,,,,,,,,,,,,,,
57,for,as,long,as,he,lived,their,elder,and,warlord,,,,,,,,,
58,he,was,four,times,a,father,this,fighter,prince,,,,,,,,,,
59,one,by,one,they,entered,the,world,60,,,,,,,,,,,
60,heorogar,hrothgar,the,good,halga,,,,,,,,,,,,,,
61,and,a,daughter,i,have,heard,who,was,onelas,queen,,,,,,,,,
62,a,balm,in,bed,to,the,battlescarred,swede,,,,,,,,,,,
63,the,fortunes,of,war,favored,hrothgar,,,,,,,,,,,,,
64,friends,and,kinsmen,flocked,to,his,ranks,,,,,,,,,,,,
65,young,followers,a,force,that,grew,,,,,,,,,,,,,
66,to,be,a,mighty,army,so,his,mind,turned,,,,,,,,,,
67,to,hallbuilding,he,handed,down,orders,,,,,,,,,,,,,
68,for,men,to,work,on,a,great,meadhall,,,,,,,,,,,
69,meant,to,be,a,wonder,of,the,world,forever,70,,,,,,,,,
70,it,would,be,his,throneroom,and,there,he,would,dispense,,,,,,,,,
71,his,godgiven,goods,to,young,and,old,,,,,,,,,,,,
72,but,not,the,common,land,or,peoples,lives,,,,,,,,,,,
73,far,and,wide,through,the,world,i,have,heard,,,,,,,,,,
74,orders,for,work,to,adorn,that,wall,stead,,,,,,,,,,,
75,were,sent,to,many,peoples,and,soon,it,stood,there,,,,,,,,,
76,finished,and,ready,in,full,view,,,,,,,,,,,,,
77,the,hall,of,halls,heorot,was,the,name,,,,,,,,,,,
78,he,had,settled,on,it,whose,utterance,was,law,,,,,,,,,,
79,nor,did,he,renege,but,doled,out,rings,80,,,,,,,,,,
80,and,torques,at,the,table,the,hall,towered,,,,,,,,,,,
81,its,gables,wide,and,high,and,awaiting,,,,,,,,,,,,
82,a,barbarous,burning,that,doom,abided,,,,,,,,,,,,,
83,but,in,time,it,would,come,the,killer,instinct,,,,,,,,,,
84,unleashed,among,inlaws,the,bloodlust,rampant,,,,,,,,,,,,,
85,then,a,powerful,demon,a,prowler,through,the,dark,,,,,,,,,,
86,nursed,a,hard,grievance,it,harrowed,him,,,,,,,,,,,,
87,to,hear,the,din,of,the,loud,banquet,,,,,,,,,,,
88,every,day,in,the,hall,the,harp,being,struck,,,,,,,,,,
89,and,the,clear,song,of,a,skilled,poet,90,,,,,,,,,,
90,telling,with,mastery,of,mans,beginnings,,,,,,,,,,,,,
91,how,the,almighty,had,made,the,earth,,,,,,,,,,,,
92,a,gleaming,plain,girdled,with,waters,,,,,,,,,,,,,
93,in,his,splendour,he,set,the,sun,and,moon,,,,,,,,,,
94,to,be,earths,lamplight,lanterns,for,men,,,,,,,,,,,,
95,and,filled,the,broad,lap,of,the,world,,,,,,,,,,,
96,with,branches,and,leaves,and,quickened,life,,,,,,,,,,,,
97,in,every,other,thing,that,moved,,,,,,,,,,,,,
98,so,times,were,pleasant,for,the,people,there,,,,,,,,,,,
99,until,finally,one,a,fiend,out,of,hell,100,,,,,,,,,,
100,began,to,work,his,evil,in,the,world,,,,,,,,,,,
101,grendel,was,the,name,of,this,grim,demon,,,,,,,,,,,
102,haunting,the,marches,marauding,round,the,heath,,,,,,,,,,,,
103,and,the,desolate,fens,he,had,dwelt,for,a,time,,,,,,,,,
104,in,misery,among,the,banished,monsters,,,,,,,,,,,,,
105,cains,clan,whom,the,creator,had,outlawed,,,,,,,,,,,,
106,and,condemned,as,outcasts,for,the,killing,of,abel,,,,,,,,,,
107,the,eternal,lord,had,exacted,a,price,,,,,,,,,,,,
108,cain,got,no,good,from,committing,that,murder,,,,,,,,,,,
109,because,the,almighty,made,him,anathema,110,,,,,,,,,,,,
110,and,out,of,the,curse,of,his,exile,there,sprang,,,,,,,,,
111,ogres,and,elves,and,evil,phantoms,,,,,,,,,,,,,
112,and,the,giants,too,who,strove,with,god,,,,,,,,,,,
113,time,and,again,until,he,gave,them,their,final,reward,,,,,,,,,
114,so,after,nightfall,grendel,set,out,,,,,,,,,,,,,
115,for,the,lofty,house,to,see,how,the,ringdanes,,,,,,,,,,
116,were,settling,into,it,after,their,drink,,,,,,,,,,,,
117,and,there,he,came,upon,them,a,company,of,the,best,,,,,,,,
118,asleep,from,their,feasting,insensible,to,pain,,,,,,,,,,,,
119,and,human,sorrow,suddenly,then,120,,,,,,,,,,,,,
120,the,godcursed,brute,was,creating,havoc,,,,,,,,,,,,,
121,greedy,and,grim,he,grabbed,thirty,men,,,,,,,,,,,,
122,from,their,resting,places,and,rushed,to,his,lair,,,,,,,,,,
123,flushed,up,and,inflamed,from,the,raid,,,,,,,,,,,,
124,blundering,back,with,the,butchered,corpses,,,,,,,,,,,,,
125,then,as,dawn,brightened,and,the,day,broke,,,,,,,,,,,
126,grendels,powers,of,destruction,were,plain,,,,,,,,,,,,,
127,their,wassail,was,over,they,wept,to,heaven,,,,,,,,,,,
128,and,mourned,under,morning,their,mighty,prince,,,,,,,,,,,,
129,the,storied,leader,sat,stricken,and,helpless,130,,,,,,,,,,,
130,humiliated,by,the,loss,of,his,guard,,,,,,,,,,,,
131,bewildered,and,stunned,staring,aghast,,,,,,,,,,,,,,
132,and,the,demons,trail,in,deep,distress,,,,,,,,,,,,
133,he,was,numb,with,grief,but,got,no,respite,,,,,,,,,,
134,for,one,night,later,the,merciless,grendel,,,,,,,,,,,,
135,struck,again,with,more,gruesome,murders,,,,,,,,,,,,,
136,malignant,by,nature,he,never,showed,remorse,,,,,,,,,,,,
137,it,was,easy,then,to,meet,with,a,man,,,,,,,,,,
138,shifting,himself,to,a,safer,distance,,,,,,,,,,,,,
139,to,bed,in,the,bothies,for,who,could,be,blind,140,,,,,,,,
140,to,the,evidence,of,his,eyes,the,obviousness,,,,,,,,,,,
141,of,that,hallwatchers,hate,whoever,escaped,,,,,,,,,,,,,
142,kept,a,weathereye,open,and,moved,away,,,,,,,,,,,,
143,so,grendel,ruled,in,defiance,of,right,,,,,,,,,,,,
144,one,against,all,until,the,greatest,house,,,,,,,,,,,,
145,in,the,world,stood,empty,a,deserted,wall,stead,,,,,,,,,,
146,for,twelve,winters,seasons,of,woe,,,,,,,,,,,,,
147,the,lord,of,the,shieldings,suffered,under,,,,,,,,,,,,
148,his,load,of,sorrow,and,so,before,long,,,,,,,,,,,
149,the,news,was,known,over,the,whole,world,150,,,,,,,,,,
150,sad,lays,were,sung,about,the,beset,king,,,,,,,,,,,
151,the,vicious,raids,of,grendel,,,,,,,,,,,,,,
152,his,long,and,unrelenting,feud,,,,,,,,,,,,,,
153,nothing,but,war,how,he,would,never,,,,,,,,,,,,
154,parley,or,make,peace,with,any,dane,,,,,,,,,,,,
155,nor,stop,his,deathdealing,nor,pay,the,deathprice,,,,,,,,,,,
156,no,counsellor,could,ever,expect,,,,,,,,,,,,,,
157,fair,reparation,from,those,rabid,hands,,,,,,,,,,,,,
158,all,were,endangered,young,and,old,,,,,,,,,,,,,
159,were,hunted,down,by,that,dark,deathshadow,160,,,,,,,,,,,
160,who,lurked,and,swooped,in,the,long,nights,,,,,,,,,,,
161,on,the,misty,moors,nobody,knows,,,,,,,,,,,,,
162,where,these,reavers,from,hell,roam,on,their,errands,,,,,,,,,,
163,so,grendel,waged,his,lonely,war,,,,,,,,,,,,,
164,inflicting,constant,cruelties,on,the,people,,,,,,,,,,,,,
165,atrocious,hurt,he,took,over,heorot,,,,,,,,,,,,,
166,haunted,the,glittering,hall,after,dark,,,,,,,,,,,,,
167,but,the,throne,itself,the,treasureseat,,,,,,,,,,,,,
168,he,was,kept,from,approaching,he,was,the,lords,outcast,,,,,,,,,
169,these,were,hard,times,heartbreaking,170,,,,,,,,,,,,,
170,for,the,prince,of,the,shieldings,powerful,counselors,,,,,,,,,,,
171,the,highest,in,the,land,would,lend,advice,,,,,,,,,,,
172,plotting,how,best,the,bold,defenders,,,,,,,,,,,,,
173,might,resist,and,beat,off,sudden,attacks,,,,,,,,,,,,
174,sometimes,at,pagan,shrines,they,vowed,,,,,,,,,,,,,
175,offering,to,idols,swore,oaths,,,,,,,,,,,,,,
176,that,the,killer,of,souls,might,come,to,their,aid,,,,,,,,,
177,and,save,the,people,that,was,their,way,,,,,,,,,,,
178,their,heathenish,hope,deep,in,their,hearts,,,,,,,,,,,,
179,they,remembered,hell,the,almighty,judge,180,,,,,,,,,,,,
180,of,good,deeds,and,bad,the,lord,god,,,,,,,,,,,
181,head,of,the,heavens,and,high,king,of,the,world,,,,,,,,,
182,was,unknown,to,them,oh,cursed,is,he,,,,,,,,,,,
183,who,in,time,of,trouble,had,to,thrust,his,soul,,,,,,,,,
184,in,the,fires,embrace,forfeiting,help,,,,,,,,,,,,,
185,he,has,nowhere,to,turn,but,blessed,is,he,,,,,,,,,,
186,who,after,death,can,approach,the,lord,,,,,,,,,,,,
187,and,find,friendship,in,the,fathers,embrace,,,,,,,,,,,,
188,so,that,troubled,time,continued,woe,,,,,,,,,,,,,
189,that,never,stopped,steady,affliction,190,,,,,,,,,,,,,
190,for,halfdanes,son,too,hard,an,ordeal,,,,,,,,,,,,
191,there,was,panic,after,dark,people,endured,,,,,,,,,,,,
192,raids,in,the,night,riven,by,terror,,,,,,,,,,,,
193,when,he,heard,about,grendel,hygelacs,thane,,,,,,,,,,,,
194,was,on,home,ground,over,in,geatland,,,,,,,,,,,,
195,there,was,no,one,else,like,him,alive,,,,,,,,,,,
196,in,his,day,he,was,the,mightiest,man,on,earth,,,,,,,,,
197,highborn,and,powerful,he,ordered,a,boat,,,,,,,,,,,,
198,that,would,ply,the,waves,he,announced,his,plan,,,,,,,,,,
199,to,sail,the,swans,roads,and,search,out,that,king,200,,,,,,,,
200,the,famous,prince,who,needed,defenders,,,,,,,,,,,,,
201,nobody,tried,to,keep,him,from,going,,,,,,,,,,,,
202,no,elder,denied,him,dear,as,he,was,to,them,,,,,,,,,
203,instead,they,inspected,omens,and,spurred,,,,,,,,,,,,,
204,his,ambition,to,go,whilst,he,moved,about,,,,,,,,,,,
205,like,the,leader,he,was,enlisting,men,,,,,,,,,,,,
206,the,best,he,could,find,with,fourteen,others,,,,,,,,,,,
207,the,warrior,boarded,the,boat,as,captain,,,,,,,,,,,,
208,a,canny,pilot,along,coast,and,currents,,,,,,,,,,,,
209,time,went,by,the,boat,was,on,water,210,,,,,,,,,,
210,in,close,under,the,cliffs,,,,,,,,,,,,,,
211,men,climbed,eagerly,up,the,gangplank,,,,,,,,,,,,,
212,sand,churned,in,surf,shining,wargear,,,,,,,,,,,,,
213,in,the,vessels,hold,then,heaved,out,,,,,,,,,,,,
214,away,with,a,will,in,their,woodwreathed,ship,,,,,,,,,,,
215,over,the,waves,with,the,wind,behind,her,,,,,,,,,,,
216,and,foam,at,her,neck,she,flew,like,a,bird,,,,,,,,,
217,until,her,curved,prow,had,covered,the,distance,,,,,,,,,,,
218,and,on,the,following,day,at,the,due,hour,220,,,,,,,,,
219,those,seafarers,sighted,land,,,,,,,,,,,,,,,
220,sunlit,cliffs,sheer,crags,,,,,,,,,,,,,,,
221,and,looming,headlands,the,landfall,they,sought,,,,,,,,,,,,
222,it,was,the,end,of,their,voyage,and,the,geats,vaulted,,,,,,,,
223,over,the,side,out,on,to,the,sand,,,,,,,,,,,
224,and,moored,their,ship,there,was,a,clash,of,mail,,,,,,,,,
225,and,a,thresh,of,gear,they,thanked,god,,,,,,,,,,,
226,for,that,easy,crossing,on,a,calm,sea,,,,,,,,,,,
227,when,the,watchman,on,the,wall,the,shieldings,lookout,,,,,,,,,,
228,whose,job,it,was,to,guard,the,seacliffs,230,,,,,,,,,,
229,saw,shields,glittering,on,the,gangplank,,,,,,,,,,,,,
230,and,battleequipment,being,unloaded,,,,,,,,,,,,,,,
231,he,had,to,find,out,who,and,what,,,,,,,,,,,
232,the,arrivals,were,so,he,rode,to,the,shore,,,,,,,,,,
233,this,horseman,of,hrothgars,and,challenged,them,,,,,,,,,,,,
234,in,formal,terms,flourishing,his,spear,,,,,,,,,,,,,
235,what,kind,of,men,are,you,who,arrive,,,,,,,,,,,
236,rigged,out,for,combat,in,coats,of,mail,,,,,,,,,,,
237,sailing,here,over,the,sea,lanes,,,,,,,,,,,,,
238,in,your,steephulled,boat,i,have,been,stationed,240,,,,,,,,,,
239,as,lookout,on,this,coast,for,a,long,time,,,,,,,,,,
240,my,job,is,to,watch,the,waves,for,raiders,,,,,,,,,,
241,and,danger,to,the,danish,shore,,,,,,,,,,,,,
242,never,before,has,a,force,under,arms,,,,,,,,,,,,
243,disembarked,so,openlynot,bothering,to,ask,,,,,,,,,,,,,
244,if,the,sentries,allowed,them,safe,passage,,,,,,,,,,,,
245,or,the,clan,had,consented,nor,have,i,seen,,,,,,,,,,
246,a,mightier,manatarms,on,this,earth,,,,,,,,,,,,,
247,than,the,one,standing,here,unless,i,am,mistaken,,,,,,,,,,
248,he,is,truly,noble,this,is,no,mere,250,,,,,,,,,,
249,hangeron,in,a,heros,armour,,,,,,,,,,,,,,
250,so,now,before,you,fare,inland,,,,,,,,,,,,,
251,as,interlopers,i,have,to,be,informed,,,,,,,,,,,,
252,about,who,you,are,and,where,you,hail,from,,,,,,,,,,
253,outsiders,from,across,the,water,,,,,,,,,,,,,,
