,0,1,2,3,4,5,6,7,8,9,10
0,hwæt,we,gardena,in,geardagum,,,,,,
1,þeodcyninga,þrym,gefrunon,,,,,,,,
2,hu,ða,æþelingas,ellen,fremedon,,,,,,
3,oft,scyld,scefing,sceaþena,þreatum,,,,,,
4,monegum,mægþum,meodosetla,ofteah,,,,,,,
5,egsode,eorlas,syððan,ærest,wearð,,,,,,
6,feasceaft,funden,he,þæs,frofre,gebad,,,,,
7,weox,under,wolcnum,weorðmyndum,þah,,,,,,
8,oðþæt,him,æghwylc,þara,ymbsittendra,,,,,,
9,ofer,hronrade,hyran,scolde,,,,,,,
10,gomban,gyldan,þæt,wæs,god,cyning,,,,,
11,ðæm,eafera,wæs,æfter,cenned,,,,,,
12,geong,in,geardum,þone,god,sende,,,,,
13,folce,to,frofre,fyrenðearfe,ongeat,,,,,,
14,þe,hie,ær,drugon,aldorlease,,,,,,
15,lange,hwile,him,þæs,liffrea,,,,,,
16,wuldres,wealdend,woroldare,forgeaf,,,,,,,
17,beowulf,wæs,breme,blæd,wide,sprang,,,,,
18,scyldes,eafera,scedelandum,in,,,,,,,
19,swa,sceal,geong,guma,gode,gewyrcean,,,,,
20,fromum,feohgiftum,on,fæder,bearme,,,,,,
21,þæt,hine,on,ylde,eft,gewunigen,,,,,
22,wilgesiþas,þonne,wig,cume,,,,,,,
23,leode,gelæsten,lofdædum,sceal,,,,,,,
24,in,mægþa,gehwære,man,geþeon,,,,,,
25,him,ða,scyld,gewat,to,gescæphwile,,,,,
26,felahror,feran,on,frean,wære,,,,,,
27,hi,hyne,þa,ætbæron,to,brimes,faroðe,,,,
28,swæse,gesiþas,swa,he,selfa,bæd,,,,,
29,þenden,wordum,weold,wine,scyldinga,,,,,,
30,leof,landfruma,lange,ahte,,,,,,,
31,þær,æt,hyðe,stod,hringedstefna,,,,,,
32,isig,ond,utfus,æþelinges,fær,,,,,,
33,aledon,þa,leofne,þeoden,,,,,,,
34,beaga,bryttan,on,bearm,scipes,,,,,,
35,mærne,be,mæste,þær,wæs,madma,fela,,,,
36,of,feorwegum,frætwa,gelæded,,,,,,,
37,ne,hyrde,ic,cymlicor,ceol,gegyrwan,,,,,
38,hildewæpnum,ond,heaðowædum,,,,,,,,
39,billum,ond,byrnum,him,on,bearme,læg,,,,
40,madma,mænigo,þa,him,mid,scoldon,,,,,
41,on,flodes,æht,feor,gewitan,,,,,,
42,nalæs,hi,hine,læssan,lacum,teodan,,,,,
43,þeodgestreonum,þon,þa,dydon,,,,,,,
44,þe,hine,æt,frumsceafte,forð,onsendon,,,,,
45,ænne,ofer,yðe,umborwesende,,,,,,,
46,þa,gyt,hie,him,asetton,segen,geldenne,,,,
47,heah,ofer,heafod,leton,holm,beran,,,,,
48,geafon,on,garsecg,him,wæs,geomor,sefa,,,,
49,murnende,mod,men,ne,cunnon,,,,,,
50,secgan,to,soðe,selerædende,,,,,,,
51,hæleð,under,heofenum,hwa,þæm,hlæste,onfeng,,,,
52,ða,wæs,on,burgum,beowulf,scyldinga,,,,,
53,leof,leodcyning,longe,þrage,,,,,,,
54,folcum,gefræge,fæder,ellor,hwearf,,,,,,
55,aldor,of,earde,oþþæt,him,eft,onwoc,,,,
56,heah,healfdene,heold,þenden,lifde,,,,,,
57,gamol,ond,guðreouw,glæde,scyldingas,,,,,,
58,ðæm,feower,bearn,forð,gerimed,,,,,,
59,in,worold,wocun,weoroda,ræswan,,,,,,
60,heorogar,ond,hroðgar,ond,halga,til,,,,,
61,hyrde,ic,þæt,wæs,onelan,cwen,,,,,
62,heaðoscilfingas,healsgebedda,,,,,,,,,
63,þa,wæs,hroðgare,heresped,gyfen,,,,,,
64,wiges,weorðmynd,þæt,him,his,winemagas,,,,,
65,georne,hyrdon,oðð,þæt,seo,geogoð,geweox,,,,
66,magodriht,micel,him,on,mod,bearn,,,,,
67,þæt,healreced,hatan,wolde,,,,,,,
68,medoærn,micel,men,gewyrcean,,,,,,,
69,þonne,yldo,bearn,æfre,gefrunon,,,,,,
70,ond,þær,on,innan,eall,gedælan,,,,,
71,geongum,ond,ealdum,swylc,him,god,sealde,,,,
72,buton,folcscare,ond,feorum,gumena,,,,,,
73,ða,ic,wide,gefrægn,weorc,gebannan,,,,,
74,manigre,mægþe,geond,þisne,middangeard,,,,,,
75,folcstede,frætwan,him,on,fyrste,gelomp,,,,,
76,ædre,mid,yldum,þæt,hit,wearð,ealgearo,,,,
77,healærna,mæst,scop,him,heort,naman,,,,,
78,se,þe,his,wordes,geweald,wide,hæfde,,,,
79,he,beot,ne,aleh,beagas,dælde,,,,,
80,sinc,æt,symle,sele,hlifade,,,,,,
81,heah,ond,horngeap,heaðowylma,bad,,,,,,
82,laðan,liges,ne,wæs,hit,lenge,þa,gen,,,
83,þæt,se,ecghete,aþumsweorum,,,,,,,
84,æfter,wælniðe,wæcnan,scolde,,,,,,,
85,ða,se,ellengæst,earfoðlice,,,,,,,
86,þrage,geþolode,se,þe,in,þystrum,bad,,,,
87,þæt,he,dogora,gehwam,dream,gehyrde,,,,,
88,hludne,in,healle,þær,wæs,hearpan,sweg,,,,
89,swutol,sang,scopes,sægde,se,þe,cuþe,,,,
90,frumsceaft,fira,feorran,reccan,,,,,,,
91,cwæð,þæt,se,ælmihtiga,eorðan,worhte,,,,,
92,wlitebeorhtne,wang,swa,wæter,bebugeð,,,,,,
93,gesette,sigehreþig,sunnan,ond,monan,,,,,,
94,leoman,to,leohte,landbuendum,,,,,,,
95,ond,gefrætwade,foldan,sceatas,,,,,,,
96,leomum,ond,leafum,lif,eac,gesceop,,,,,
97,cynna,gehwylcum,þara,ðe,cwice,hwyrfaþ,,,,,
98,swa,ða,drihtguman,dreamum,lifdon,,,,,,
99,eadiglice,oððæt,an,ongan,,,,,,,
100,fyrene,fremman,feond,on,helle,,,,,,
101,wæs,se,grimma,gæst,grendel,haten,,,,,
102,mære,mearcstapa,se,þe,moras,heold,,,,,
103,fen,ond,fæsten,fifelcynnes,eard,,,,,,
104,wonsæli,wer,weardode,hwile,,,,,,,
105,siþðan,him,scyppend,forscrifen,hæfde,,,,,,
106,in,caines,cynne,þone,cwealm,gewræc,,,,,
107,ece,drihten,þæs,þe,he,abel,slog,,,,
108,ne,gefeah,he,þære,fæhðe,ac,he,hine,feor,forwræc,
109,metod,for,þy,mane,mancynne,fram,,,,,
110,þanon,untydras,ealle,onwocon,,,,,,,
111,eotenas,ond,ylfe,ond,orcneas,,,,,,
112,swylce,gigantas,þa,wið,gode,wunnon,,,,,
113,lange,þrage,he,him,ðæs,lean,forgeald,,,,
114,gewat,ða,neosian,syþðan,niht,becom,,,,,
115,hean,huses,hu,hit,hringdene,,,,,,
116,æfter,beorþege,gebun,hæfdon,,,,,,,
117,fand,þa,ðær,inne,æþelinga,gedriht,,,,,
118,swefan,æfter,symble,sorge,ne,cuðon,,,,,
119,wonsceaft,wera,wiht,unhælo,,,,,,,
120,grim,ond,grædig,gearo,sona,wæs,,,,,
121,reoc,ond,reþe,ond,on,ræste,genam,,,,
122,þritig,þegna,þanon,eft,gewat,,,,,,
123,huðe,hremig,to,ham,faran,,,,,,
124,mid,þære,wælfylle,wica,neosan,,,,,,
125,ða,wæs,on,uhtan,mid,ærdæge,,,,,
126,grendles,guðcræft,gumum,undyrne,,,,,,,
127,þa,wæs,æfter,wiste,wop,up,ahafen,,,,
128,micel,morgensweg,mære,þeoden,,,,,,,
129,æþeling,ærgod,unbliðe,sæt,,,,,,,
130,þolode,ðryðswyð,þegnsorge,dreah,,,,,,,
131,syðþan,hie,þæs,laðan,last,sceawedon,,,,,
132,wergan,gastes,wæs,þæt,gewin,to,strang,,,,
133,lað,ond,longsum,næs,hit,lengra,fyrst,,,,
134,ac,ymb,ane,niht,eft,gefremede,,,,,
135,morðbeala,mare,ond,no,mearn,fore,,,,,
136,fæhðe,ond,fyrene,wæs,to,fæst,on,þam,,,
137,þa,wæs,eaðfynde,þe,him,elles,hwær,,,,
138,gerumlicor,ræste,sohte,,,,,,,,
139,bed,æfter,burum,ða,him,gebeacnod,wæs,,,,
140,gesægd,soðlice,sweotolan,tacne,,,,,,,
141,healðegnes,hete,heold,hyne,syðþan,,,,,,
142,fyr,ond,fæstor,se,þæm,feonde,ætwand,,,,
143,swa,rixode,ond,wið,rihte,wan,,,,,
144,ana,wið,eallum,oðþæt,idel,stod,,,,,
145,husa,selest,wæs,seo,hwil,micel,,,,,
146,xii,wintra,tid,torn,geþolode,,,,,,
147,wine,scyldinga,weana,gehwelcne,,,,,,,
148,sidra,sorga,forðam,secgum,wearð,,,,,,
149,ylda,bearnum,undyrne,cuð,,,,,,,
150,gyddum,geomore,þætte,grendel,wan,,,,,,
151,hwile,wið,hroþgar,heteniðas,wæg,,,,,,
152,fyrene,ond,fæhðe,fela,missera,,,,,,
153,singale,sæce,sibbe,ne,wolde,,,,,,
154,wið,manna,hwone,mægenes,deniga,,,,,,
155,feorhbealo,feorran,fea,þingian,,,,,,,
156,ne,þær,nænig,witena,wenan,þorfte,,,,,
157,beorhtre,bote,to,banan,folmum,,,,,,
158,ac,se,æglæca,ehtende,wæs,,,,,,
159,deorc,deaþscua,duguþe,ond,geogoþe,,,,,,
160,seomade,ond,syrede,sinnihte,heold,,,,,,
161,mistige,moras,men,ne,cunnon,,,,,,
162,hwyder,helrunan,hwyrftum,scriþað,,,,,,,
163,swa,fela,fyrena,feond,mancynnes,,,,,,
164,atol,angengea,oft,gefremede,,,,,,,
165,heardra,hynða,heorot,eardode,,,,,,,
166,sincfage,sel,sweartum,nihtum,,,,,,,
167,no,he,þone,gifstol,gretan,moste,,,,,
168,maþðum,for,metode,ne,his,myne,wisse,,,,
169,þæt,wæs,wræc,micel,wine,scyldinga,,,,,
170,modes,brecða,monig,oft,gesæt,,,,,,
171,rice,to,rune,ræd,eahtedon,,,,,,
172,hwæt,swiðferhðum,selest,wære,,,,,,,
173,wið,færgryrum,to,gefremmanne,,,,,,,
174,hwilum,hie,geheton,æt,hærgtrafum,,,,,,
175,wigweorþunga,wordum,bædon,,,,,,,,
176,þæt,him,gastbona,geoce,gefremede,,,,,,
177,wið,þeodþreaum,swylc,wæs,þeaw,hyra,,,,,
178,hæþenra,hyht,helle,gemundon,,,,,,,
179,in,modsefan,metod,hie,ne,cuþon,,,,,
180,dæda,demend,ne,wiston,hie,drihten,god,,,,
181,ne,hie,huru,heofena,helm,herian,ne,cuþon,,,
182,wuldres,waldend,wa,bið,þæm,ðe,sceal,,,,
183,þurh,sliðne,nið,sawle,bescufan,,,,,,
184,in,fyres,fæþm,frofre,ne,wenan,,,,,
185,wihte,gewendan,wel,bið,þæm,þe,mot,,,,
186,æfter,deaðdæge,drihten,secean,,,,,,,
187,ond,to,fæder,fæþmum,freoðo,wilnian,,,,,
188,swa,ða,mælceare,maga,healfdenes,,,,,,
189,singala,seað,ne,mihte,snotor,hæleð,,,,,
190,wean,onwendan,wæs,þæt,gewin,to,swyð,,,,
191,laþ,ond,longsum,þe,on,ða,leode,becom,,,
192,nydwracu,niþgrim,nihtbealwa,mæst,,,,,,,
193,þæt,fram,ham,gefrægn,higelaces,þegn,,,,,
194,god,mid,geatum,grendles,dæda,,,,,,
195,se,wæs,moncynnes,mægenes,strengest,,,,,,
196,on,þæm,dæge,þysses,lifes,,,,,,
197,æþele,ond,eacen,het,him,yðlidan,,,,,
198,godne,gegyrwan,cwæð,hu,guðcyning,,,,,,
199,ofer,swanrade,secean,wolde,,,,,,,
200,mærne,þeoden,þa,him,wæs,manna,þearf,,,,
201,ðone,siðfæt,him,snotere,ceorlas,,,,,,
202,lythwon,logon,þeah,he,him,leof,wære,,,,
203,hwetton,higerofne,hæl,sceawedon,,,,,,,
204,hæfde,se,goda,geata,leoda,,,,,,
205,cempan,gecorone,þara,þe,he,cenoste,,,,,
206,findan,mihte,xvna,sum,,,,,,,
207,sundwudu,sohte,secg,wisade,,,,,,,
208,lagucræftig,mon,landgemyrcu,,,,,,,,
209,fyrst,forð,gewat,flota,wæs,on,yðum,,,,
210,bat,under,beorge,beornas,gearwe,,,,,,
211,on,stefn,stigon,streamas,wundon,,,,,,
212,sund,wið,sande,secgas,bæron,,,,,,
213,on,bearm,nacan,beorhte,frætwe,,,,,,
214,guðsearo,geatolic,guman,ut,scufon,,,,,,
215,weras,on,wilsið,wudu,bundenne,,,,,,
216,gewat,þa,ofer,wægholm,winde,gefysed,,,,,
217,flota,famiheals,fugle,gelicost,,,,,,,
218,oðþæt,ymb,antid,oþres,dogores,,,,,,
219,wundenstefna,gewaden,hæfde,,,,,,,,
220,þæt,ða,liðende,land,gesawon,,,,,,
221,brimclifu,blican,beorgas,steape,,,,,,,
222,side,sænæssas,þa,wæs,sund,liden,,,,,
223,eoletes,æt,ende,þanon,up,hraðe,,,,,
224,wedera,leode,on,wang,stigon,,,,,,
225,sæwudu,sældon,syrcan,hrysedon,,,,,,,
226,guðgewædo,gode,þancedon,,,,,,,,
227,þæs,þe,him,yþlade,eaðe,wurdon,,,,,
228,þa,of,wealle,geseah,weard,scildinga,,,,,
229,se,þe,holmclifu,healdan,scolde,,,,,,
230,beran,ofer,bolcan,beorhte,randas,,,,,,
231,fyrdsearu,fuslicu,hine,fyrwyt,bræc,,,,,,
232,modgehygdum,hwæt,þa,men,wæron,,,,,,
233,gewat,him,þa,to,waroðe,wicge,ridan,,,,
234,þegn,hroðgares,þrymmum,cwehte,,,,,,,
235,mægenwudu,mundum,meþelwordum,frægn,,,,,,,
236,hwæt,syndon,ge,searohæbbendra,,,,,,,
237,byrnum,werede,þe,þus,brontne,ceol,,,,,
238,ofer,lagustræte,lædan,cwomon,,,,,,,
239,hider,ofer,holmas,le,wæs,,,,,,
240,endesæta,ægwearde,heold,,,,,,,,
241,þe,on,land,dena,laðra,nænig,,,,,
242,mid,scipherge,sceðþan,ne,meahte,,,,,,
243,no,her,cuðlicor,cuman,ongunnon,,,,,,
244,lindhæbbende,ne,ge,leafnesword,,,,,,,
245,guðfremmendra,gearwe,ne,wisson,,,,,,,
246,maga,gemedu,næfre,ic,maran,geseah,,,,,
247,eorla,ofer,eorþan,ðonne,is,eower,sum,,,,
248,secg,on,searwum,nis,þæt,seldguma,,,,,
249,wæpnum,geweorðad,næfne,him,his,wlite,leoge,,,,
250,ænlic,ansyn,nu,ic,eower,sceal,,,,,
251,frumcyn,witan,ær,ge,fyr,heonan,,,,,
252,leassceaweras,on,land,dena,,,,,,,
253,furþur,feran,nu,ge,feorbuend,,,,,,
254,mereliðende,minne,gehyrað,,,,,,,,
255,anfealdne,geþoht,ofost,is,selest,,,,,,
256,to,gecyðanne,hwanan,eowre,cyme,syndon,,,,,
257,him,se,yldesta,ondswarode,,,,,,,
258,werodes,wisa,wordhord,onleac,,,,,,,
259,we,synt,gumcynnes,geata,leode,,,,,,
260,ond,higelaces,heorðgeneatas,,,,,,,,
261,wæs,min,fæder,folcum,gecyþed,,,,,,
262,æþele,ordfruma,ecgþeow,haten,,,,,,,
263,gebad,wintra,worn,ær,he,on,weg,hwurfe,,,
264,gamol,of,geardum,hine,gearwe,geman,,,,,
265,witena,welhwylc,wide,geond,eorþan,,,,,,
266,we,þurh,holdne,hige,hlaford,þinne,,,,,
267,sunu,healfdenes,secean,cwomon,,,,,,,
268,leodgebyrgean,wes,þu,us,larena,god,,,,,
269,habbað,we,to,þæm,mæran,micel,ærende,,,,
270,deniga,frean,ne,sceal,þær,dyrne,sum,,,,
271,wesan,þæs,ic,wene,þu,wast,gif,hit,is,,
272,swa,we,soþlice,secgan,hyrdon,,,,,,
273,þæt,mid,scyldingum,sceaðona,ic,nat,hwylc,,,,
274,deogol,dædhata,deorcum,nihtum,,,,,,,
275,eaweð,þurh,egsan,uncuðne,nið,,,,,,
276,hynðu,ond,hrafyl,ic,þæs,hroðgar,mæg,,,,
277,þurh,rumne,sefan,ræd,gelæran,,,,,,
278,hu,he,frod,ond,god,feond,oferswyðeþ,,,,
279,gyf,him,edwendan,æfre,scolde,,,,,,
280,bealuwa,bisigu,bot,eft,cuman,,,,,,
281,ond,þa,cearwylmas,colran,wurðaþ,,,,,,
282,oððe,a,syþðan,earfoðþrage,,,,,,,
283,þreanyd,þolað,þenden,þær,wunað,,,,,,
284,on,heahstede,husa,selest,,,,,,,
285,weard,maþelode,ðær,on,wicge,sæt,,,,,
286,ombeht,unforht,æghwæþres,sceal,,,,,,,
287,scearp,scyldwiga,gescad,witan,,,,,,,
288,worda,ond,worca,se,þe,wel,þenceð,,,,
289,ic,þæt,gehyre,þæt,þis,is,hold,weorod,,,
290,frean,scyldinga,gewitaþ,forð,beran,,,,,,
