,0
0,a
1,able
2,about
3,above
4,abst
5,accordance
6,according
7,accordingly
8,across
9,act
10,actually
11,added
12,adj
13,affected
14,affecting
15,affects
16,after
17,afterwards
18,again
19,against
20,ah
21,all
22,almost
23,alone
24,along
25,already
26,also
27,although
28,always
29,am
30,among
31,amongst
32,an
33,and
34,announce
35,another
36,any
37,anybody
38,anyhow
39,anymore
40,anyone
41,anything
42,anyway
43,anyways
44,anywhere
45,apparently
46,approximately
47,are
48,aren
49,arent
50,arise
51,around
52,as
53,aside
54,ask
55,asking
56,at
57,auth
58,available
59,away
60,awfully
61,b
62,back
63,be
64,became
65,because
66,become
67,becomes
68,becoming
69,been
70,before
71,beforehand
72,begin
73,beginning
74,beginnings
75,begins
76,behind
77,being
78,believe
79,below
80,beside
81,besides
82,between
83,beyond
84,biol
85,both
86,brief
87,briefly
88,but
89,by
90,c
91,ca
92,came
93,can
94,cannot
95,can't
96,cause
97,causes
98,certain
99,certainly
100,co
101,com
102,come
103,comes
104,contain
105,containing
106,contains
107,could
108,couldnt
109,d
110,date
111,did
112,didn't
113,different
114,do
115,does
116,doesn't
117,doing
118,done
119,don't
120,down
121,downwards
122,due
123,during
124,e
125,each
126,ed
127,edu
128,effect
129,eg
130,eight
131,eighty
132,either
133,else
134,elsewhere
135,end
136,ending
137,enough
138,especially
139,et
140,et-al
141,etc
142,even
143,ever
144,every
145,everybody
146,everyone
147,everything
148,everywhere
149,ex
150,except
151,f
152,far
153,few
154,ff
155,fifth
156,first
157,five
158,fix
159,followed
160,following
161,follows
162,for
163,former
164,formerly
165,forth
166,found
167,four
168,from
169,further
170,furthermore
171,g
172,gave
173,get
174,gets
175,getting
176,give
177,given
178,gives
179,giving
180,go
181,goes
182,gone
183,got
184,gotten
185,h
186,had
187,happens
188,hardly
189,has
190,hasn't
191,have
192,haven't
193,having
194,he
195,hed
196,hence
197,her
198,here
199,hereafter
200,hereby
201,herein
202,heres
203,hereupon
204,hers
205,herself
206,hes
207,hi
208,hid
209,him
210,himself
211,his
212,hither
213,home
214,how
215,howbeit
216,however
217,hundred
218,i
219,id
220,ie
221,if
222,i'll
223,im
224,immediate
225,immediately
226,importance
227,important
228,in
229,inc
230,indeed
231,index
232,information
233,instead
234,into
235,invention
236,inward
237,is
238,isn't
239,it
240,itd
241,it'll
242,its
243,itself
244,i've
245,j
246,just
247,k
248,keep
249,keeps
250,kept
251,kg
252,km
253,know
254,known
255,knows
256,l
257,largely
258,last
259,lately
260,later
261,latter
262,latterly
263,least
264,less
265,lest
266,let
267,lets
268,like
269,liked
270,likely
271,line
272,little
273,'ll
274,look
275,looking
276,looks
277,ltd
278,m
279,made
280,mainly
281,make
282,makes
283,many
284,may
285,maybe
286,me
287,mean
288,means
289,meantime
290,meanwhile
291,merely
292,mg
293,might
294,million
295,miss
296,ml
297,more
298,moreover
299,most
300,mostly
301,mr
302,mrs
303,much
304,mug
305,must
306,my
307,myself
308,n
309,na
310,name
311,namely
312,nay
313,nd
314,near
315,nearly
316,necessarily
317,necessary
318,need
319,needs
320,neither
321,never
322,nevertheless
323,new
324,next
325,nine
326,ninety
327,no
328,nobody
329,non
330,none
331,nonetheless
332,noone
333,nor
334,normally
335,nos
336,not
337,noted
338,nothing
339,now
340,nowhere
341,o
342,obtain
343,obtained
344,obviously
345,of
346,off
347,often
348,oh
349,ok
350,okay
351,old
352,omitted
353,on
354,once
355,one
356,ones
357,only
358,onto
359,or
360,ord
361,other
362,others
363,otherwise
364,ought
365,our
366,ours
367,ourselves
368,out
369,outside
370,over
371,overall
372,owing
373,own
374,p
375,page
376,pages
377,part
378,particular
379,particularly
380,past
381,per
382,perhaps
383,placed
384,please
385,plus
386,poorly
387,possible
388,possibly
389,potentially
390,pp
391,predominantly
392,present
393,previously
394,primarily
395,probably
396,promptly
397,proud
398,provides
399,put
400,q
401,que
402,quickly
403,quite
404,qv
405,r
406,ran
407,rather
408,rd
409,re
410,readily
411,really
412,recent
413,recently
414,ref
415,refs
416,regarding
417,regardless
418,regards
419,related
420,relatively
421,research
422,respectively
423,resulted
424,resulting
425,results
426,right
427,run
428,s
429,said
430,same
431,saw
432,say
433,saying
434,says
435,sec
436,section
437,see
438,seeing
439,seem
440,seemed
441,seeming
442,seems
443,seen
444,self
445,selves
446,sent
447,seven
448,several
449,shall
450,she
451,shed
452,she'll
453,shes
454,should
455,shouldn't
456,show
457,showed
458,shown
459,showns
460,shows
461,significant
462,significantly
463,similar
464,similarly
465,since
466,six
467,slightly
468,so
469,some
470,somebody
471,somehow
472,someone
473,somethan
474,something
475,sometime
476,sometimes
477,somewhat
478,somewhere
479,soon
480,sorry
481,specifically
482,specified
483,specify
484,specifying
485,still
486,stop
487,strongly
488,sub
489,substantially
490,successfully
491,such
492,sufficiently
493,suggest
494,sup
495,sure
496,t
497,take
498,taken
499,taking
500,tell
501,tends
502,th
503,than
504,thank
505,thanks
506,thanx
507,that
508,that'll
509,thats
510,that've
511,the
512,their
513,theirs
514,them
515,themselves
516,then
517,thence
518,there
519,thereafter
520,thereby
521,thered
522,therefore
523,therein
524,there'll
525,thereof
526,therere
527,theres
528,thereto
529,thereupon
530,there've
531,these
532,they
533,theyd
534,they'll
535,theyre
536,they've
537,think
538,this
539,those
540,thou
541,though
542,thoughh
543,thousand
544,throug
545,through
546,throughout
547,thru
548,thus
549,til
550,tip
551,to
552,together
553,too
554,took
555,toward
556,towards
557,tried
558,tries
559,truly
560,try
561,trying
562,ts
563,twice
564,two
565,u
566,un
567,under
568,unfortunately
569,unless
570,unlike
571,unlikely
572,until
573,unto
574,up
575,upon
576,ups
577,us
578,use
579,used
580,useful
581,usefully
582,usefulness
583,uses
584,using
585,usually
586,v
587,value
588,various
589,'ve
590,very
591,via
592,viz
593,vol
594,vols
595,vs
596,w
597,want
598,wants
599,was
600,wasnt
601,way
602,we
603,wed
604,welcome
605,we'll
606,went
607,were
608,werent
609,we've
610,what
611,whatever
612,what'll
613,whats
614,when
615,whence
616,whenever
617,where
618,whereafter
619,whereas
620,whereby
621,wherein
622,wheres
623,whereupon
624,wherever
625,whether
626,which
627,while
628,whim
629,whither
630,who
631,whod
632,whoever
633,whole
634,who'll
635,whom
636,whomever
637,whos
638,whose
639,why
640,widely
641,willing
642,wish
643,with
644,within
645,without
646,wont
647,words
648,world
649,would
650,wouldnt
651,www
652,x
653,y
654,yes
655,yet
656,you
657,youd
658,you'll
659,your
660,youre
661,yours
662,yourself
663,yourselves
664,you've
665,z
666,zero
